Id,Report Source,Category,Created at local,Closed at local,Status,Address,Description,URL,Lat,Lng,Export tagged places
7181157,iPhone,Odor,01/07/2020 - 08:26AM,01/07/2020 - 09:20AM,Archived,315 Spring Street,Petroleum smell coming from south portland,https://crm.seeclickfix.com/#/organizations/611/issues/7181157,43.64774,-70.2694545,City Council District 2
7181402,Android,Odor,01/07/2020 - 09:11AM,01/07/2020 - 09:20AM,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7181402,43.6494485,-70.2686259,City Council District 2
7192000,Android,Odor,01/09/2020 - 07:14AM,01/09/2020 - 08:45AM,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7192000,43.6494485,-70.2686259,City Council District 2
7206428,Android,Odor,01/13/2020 - 08:22AM,01/13/2020 - 09:09AM,Archived,25 Cushman St,worst yet,https://crm.seeclickfix.com/#/organizations/611/issues/7206428,43.6494485,-70.2686259,City Council District 2
7210067,Android,Odor,01/14/2020 - 08:24AM,01/14/2020 - 02:50PM,Archived,25 Cushman St,"usual petroleum stink. Cushman and Reiche playing field
",https://crm.seeclickfix.com/#/organizations/611/issues/7210067,43.6494485,-70.2686259,City Council District 2
7210906,Android,Odor,01/14/2020 - 11:10AM,01/14/2020 - 02:50PM,Archived,70 India St,"India and Commercial. across from SoPo tanks. VERY strong petroleum odor. I have lung disease and it's irritating.
Time to get this litigated
",https://crm.seeclickfix.com/#/organizations/611/issues/7210906,43.6608209,-70.2506509,City Council District 1
7221072,Android,Odor,01/15/2020 - 04:05PM,01/21/2020 - 09:55AM,Archived,25 Cushman St,usual stink,https://crm.seeclickfix.com/#/organizations/611/issues/7221072,43.6494485,-70.2686259,City Council District 2
7224338,Android,Odor,01/16/2020 - 08:01AM,01/21/2020 - 09:55AM,Archived,25 Cushman St,as usual. by Reiche pool as well,https://crm.seeclickfix.com/#/organizations/611/issues/7224338,43.6494485,-70.2686259,City Council District 2
7242521,Android,Odor,01/21/2020 - 07:25AM,01/21/2020 - 09:55AM,Archived,25 Cushman St, Usual stink from Bay. Time for an update from DEP and Council. absolutely no excuses for lack of action plan,https://crm.seeclickfix.com/#/organizations/611/issues/7242521,43.6494485,-70.2686259,City Council District 2
7253972,Android,Odor,01/23/2020 - 08:01AM,01/23/2020 - 03:00PM,Archived,104 Clark St,petroleum odor very strong Cushman/Clark/ Reiche pool parking lot . ,https://crm.seeclickfix.com/#/organizations/611/issues/7253972,43.6486812,-70.2652256,City Council District 2
7418849,Android,Odor,02/13/2020 - 08:30AM,02/13/2020 - 08:39AM,Archived,25 Cushman St,again,https://crm.seeclickfix.com/#/organizations/611/issues/7418849,43.6494485,-70.2686259,City Council District 2
7462619,Android,Odor,02/24/2020 - 07:18AM,02/24/2020 - 08:24AM,Archived,342 Spring St,petrol/chemical smell in west end,https://crm.seeclickfix.com/#/organizations/611/issues/7462619,43.6469197,-70.2703141,City Council District 2
7492108,iPhone,Odor,03/02/2020 - 06:21AM,03/02/2020 - 08:38AM,Archived,55 Bowdoin St,Very potent Petrochemical/VOC  odor in my backyard,https://crm.seeclickfix.com/#/organizations/611/issues/7492108,43.64723135,-70.27484216,City Council District 2
7492122,Android,Odor,03/02/2020 - 06:44AM,03/02/2020 - 08:38AM,Archived,181 Brackett St,Worst stink from tanks. I have chronic lung condition. I am in severe pulmonary distress after a ten minute walk with my dogs. Enough  empty rhetoric already. What's the status of monitoring vs. remediation vs. holding company liable?,https://crm.seeclickfix.com/#/organizations/611/issues/7492122,43.65125742,-70.26734971,City Council District 2
7492187,Portal,Odor,03/02/2020 - 07:09AM,03/02/2020 - 08:38AM,Archived,15 Thomas St,,https://crm.seeclickfix.com/#/organizations/611/issues/7492187,43.647399,-70.270398,City Council District 2
7497351,Web - Desktop,Odor,03/03/2020 - 07:38AM,03/03/2020 - 08:20AM,Archived,Cumberland Ave & Myrtle St,It is warmer and more humid than normal and the heavy smell of crude oil from South Portland is smothering in downtown Portland. ,https://crm.seeclickfix.com/#/organizations/611/issues/7497351,43.66026841,-70.25769743,City Council District 1
7514195,Android,Odor,03/06/2020 - 07:29AM,03/06/2020 - 08:43AM,Archived,25 Cushman St,"again
Lewis Cushman Reiche at least",https://crm.seeclickfix.com/#/organizations/611/issues/7514195,43.6494485,-70.2686259,City Council District 2
7522526,iPhone,Odor,03/08/2020 - 06:34PM,03/09/2020 - 10:06AM,Archived,55 Bowdoin St,Petrochemical/VOC odor,https://crm.seeclickfix.com/#/organizations/611/issues/7522526,43.6471178,-70.27484833,City Council District 2
7532672,Web - Desktop,Odor,03/10/2020 - 06:52PM,03/11/2020 - 10:15AM,Archived,2-40 Myrtle St,Smells of the South Portland oil tanks on Congress Street near City Hall,https://crm.seeclickfix.com/#/organizations/611/issues/7532672,43.6597324,-70.2571714,City Council District 1
7538921,Portal,Odor,03/11/2020 - 06:22PM,03/12/2020 - 08:39AM,Archived,305 Danforth St,Strong odor of petroleum.,https://crm.seeclickfix.com/#/organizations/611/issues/7538921,43.646445,-70.268247,City Council District 2
7539102,Web - Mobile,Odor,03/11/2020 - 07:27PM,03/12/2020 - 08:39AM,Archived,151 Vaughan St,Strong smell of gas or asphalt at 7:25pm.,https://crm.seeclickfix.com/#/organizations/611/issues/7539102,43.64947564,-70.27287096,City Council District 2
7539121,Android,Odor,03/11/2020 - 07:36PM,03/12/2020 - 08:39AM,Archived,11 Lewis St,"usual, but at night",https://crm.seeclickfix.com/#/organizations/611/issues/7539121,43.6497706,-70.2688534,City Council District 2
7543660,Portal,Odor,03/12/2020 - 03:37PM,03/15/2020 - 10:35PM,Archived,48 Western Promenade,"Again, major fumes from So Portland tanks drifting to western peninsula, 3/10/2020.",https://crm.seeclickfix.com/#/organizations/611/issues/7543660,43.64410428,-70.27421951,City Council District 2
7554412,Android,Odor,03/16/2020 - 08:54AM,03/18/2020 - 08:28AM,Archived,117a West St,"Weyer Prom at West Street at 8:30 am today.
usual stink",https://crm.seeclickfix.com/#/organizations/611/issues/7554412,43.65086443,-70.27569875,City Council District 2
7554424,Android,Odor,03/16/2020 - 08:57AM,03/18/2020 - 08:27AM,Archived,59 Carleton St,"West Street corner Carleton.
",https://crm.seeclickfix.com/#/organizations/611/issues/7554424,43.65154683,-70.27057372,City Council District 2
7560630,Portal,Odor,03/17/2020 - 05:51PM,03/18/2020 - 08:25AM,Archived,25 Clifford St,Constant - most of the day,https://crm.seeclickfix.com/#/organizations/611/issues/7560630,43.64694474,-70.27143002,City Council District 2
7562568,Android,Odor,03/18/2020 - 07:58AM,03/18/2020 - 08:26AM,Archived,25 Cushman St,usual source. stinks,https://crm.seeclickfix.com/#/organizations/611/issues/7562568,43.6494485,-70.2686259,City Council District 2
7566599,iPhone,Odor,03/19/2020 - 06:58AM,03/20/2020 - 08:03AM,Archived,52 Bowdoin St,,https://crm.seeclickfix.com/#/organizations/611/issues/7566599,43.64676941,-70.27462992,City Council District 2
7571927,iPhone,Odor,03/20/2020 - 03:23PM,03/20/2020 - 03:26PM,Archived,44 Bowdoin St,,https://crm.seeclickfix.com/#/organizations/611/issues/7571927,43.64667774,-70.2743265,City Council District 2
7576805,iPhone,Odor,03/22/2020 - 06:22PM,03/23/2020 - 08:36AM,Archived,Franklin St,Natural gas leak smell,https://crm.seeclickfix.com/#/organizations/611/issues/7576805,43.66053148,-70.25453924,City Council District 1
7599065,Android,Odor,03/28/2020 - 08:40AM,03/31/2020 - 08:49AM,Archived,200 Vaughan St,Vaughn@West. Even Corona won't stop their venting,https://crm.seeclickfix.com/#/organizations/611/issues/7599065,43.65101944,-70.27324956,City Council District 2
7599473,iPhone,Odor,03/28/2020 - 12:19PM,03/31/2020 - 08:48AM,Archived,1–39 Chadwick St,Petroleum VOC,https://crm.seeclickfix.com/#/organizations/611/issues/7599473,43.64695171,-70.27454516,City Council District 2
7629162,iPhone,Odor,04/05/2020 - 02:15PM,04/06/2020 - 09:15AM,Archived,387 Danforth St,Strong petroleum smell with south western Beeze.  ,https://crm.seeclickfix.com/#/organizations/611/issues/7629162,43.64455104,-70.27151215,City Council District 2
7644670,iPhone,Odor,04/08/2020 - 08:13PM,04/09/2020 - 04:53AM,Archived,132 Brackett St,Oil/ash smell is back in the neighborhood tonight. Please add to DEP tracking. Thanks.,https://crm.seeclickfix.com/#/organizations/611/issues/7644670,43.65027169,-70.26716966,City Council District 2
7658949,iPhone,Odor,04/12/2020 - 01:49PM,04/13/2020 - 06:58AM,Archived,25 Vaughan St,,https://crm.seeclickfix.com/#/organizations/611/issues/7658949,43.64527993,-70.27240592,City Council District 2
7659216,iPhone,Odor,04/12/2020 - 04:22PM,04/13/2020 - 06:57AM,Archived,16 Chadwick St,Petrochemical/VOC odor from SoPo tank farms. Quite unpleasant. ,https://crm.seeclickfix.com/#/organizations/611/issues/7659216,43.64734127,-70.27491706,City Council District 2
7668699,iPhone,Odor,04/14/2020 - 09:07PM,04/15/2020 - 08:49AM,Archived,140 Park St,There’s a heavy smell of oil in the west end this evening.  Assume this is from the ongoing issues with the South Portland tanks.,https://crm.seeclickfix.com/#/organizations/611/issues/7668699,43.65300096,-70.26417213,City Council District 2
7668702,iPhone,Odor,04/14/2020 - 09:09PM,04/15/2020 - 08:50AM,Archived,132 Brackett St,Oil odor again tonight.,https://crm.seeclickfix.com/#/organizations/611/issues/7668702,43.65015796,-70.26697963,City Council District 2
7668740,iPhone,Odor,04/14/2020 - 09:38PM,04/15/2020 - 08:50AM,Archived,20–98 Fletcher St,Petro odor is headache inducing,https://crm.seeclickfix.com/#/organizations/611/issues/7668740,43.64604288,-70.27100205,City Council District 2
7687804,iPhone,Odor,04/19/2020 - 04:03PM,04/20/2020 - 12:18PM,Archived,389 Danforth St,,https://crm.seeclickfix.com/#/organizations/611/issues/7687804,43.6445541,-70.27160477,City Council District 2
7687928,iPhone,Odor,04/19/2020 - 04:55PM,04/20/2020 - 12:18PM,Archived,1–19 Vaughan St,,https://crm.seeclickfix.com/#/organizations/611/issues/7687928,43.64485988,-70.27242963,City Council District 2
7688079,iPhone,Odor,04/19/2020 - 06:20PM,04/20/2020 - 12:19PM,Archived,414 Danforth St,Oil smell from South Portland,https://crm.seeclickfix.com/#/organizations/611/issues/7688079,43.6437174,-70.27259,City Council District 2
7688249,Android,Odor,04/19/2020 - 08:01PM,04/20/2020 - 12:18PM,Archived,331 Spring St,petrol smell,https://crm.seeclickfix.com/#/organizations/611/issues/7688249,43.6472885,-70.2699633,City Council District 2
